states,year,y,ADHD,BMI,Slim,abdominal,amphetamine,anorexia,apnea,appetite,asthma,autoregression data,belly fat,calorie,calories,cardiovascular,cholesterol,diabetes,diabetic,diet,diet plan,dietary,diets,dresses plus size,exercise,food delivery near me,fructose,gastric,glucose,healthier,healthy,healthy diet,how to lose weight,hypertension,inactivity,insulin,lose fat,lose weight,malnutrition,meals,myfitnesspal,nutrition,nutritional,obese,obesity,overweight,plus size wedding dresses,smoking,stomach,sugars,symptoms of  high blood sugar,symptoms of congestive heart failure,unhealthy,visceral,weight loss,wellness
Newfoundland and Labrador,2013,69.2,16.547466673785163,17.15240503687165,60.48826968487619,16.00679173765812,0.0,20.223763894049164,21.193937880027377,37.576127455761245,17.81173888715801,63.2,24.677135767442973,10.848220138723171,13.06586757717412,28.565388302610984,23.40935509790597,34.194528833462705,13.28798869090752,48.984753602572965,0.0,31.031199745422732,14.565517008914995,0.0,17.86764211456181,0.0,31.78608669617225,17.412279554641465,11.711400219223309,25.535744130897122,17.29229598449082,0.0,18.81671272791745,19.936482116658244,0.0,30.732037755101825,0.0,20.8639857832969,21.277772699272884,21.69507488064557,73.97943299965786,18.298098071734387,13.909733935909701,30.22190291540897,26.37782162784713,23.882125075158214,0.0,17.513216493843345,25.72750840598404,18.94484409577596,0.0,0.0,28.52744715793075,31.23845343991732,19.907368806210304,13.447531322847793
Nova Scotia,2013,61,54.733928228674,44.59625309586629,69.79415732870329,50.68817383591738,103.66271775025919,49.78157266227487,49.67329190631416,88.89961861484977,47.95468161927157,60.5,52.096175509046276,35.50326590854856,35.75921652700286,66.43113558746741,41.200464972314506,43.520309424407074,27.90477625090579,41.59082853048648,98.04083449213394,64.64833280296402,42.839755908573515,0.0,42.11658498432427,0.0,76.11931287767565,39.46783365718731,42.71216550540266,64.31224447781497,48.171395956795855,0.0,43.140756010347324,40.922252765772186,21.214913067299488,46.90679446831331,100.22960075785585,51.150416759050465,59.577763557964076,65.08522464193672,272.79915918623834,51.66521808489709,37.38240995275732,69.51037670544063,58.031207581263686,86.57270339744852,0.0,45.97219329633878,56.871334371122614,37.37766537815257,0.0,0.0,103.73617148338455,65.60075222382636,49.76842201552576,58.27263573234044
Ontario,2013,53.2,38.18646155488884,33.44718982189972,67.46768541774651,39.12771313649763,70.79405114651847,44.336713152338554,33.77783849629363,69.65330943019158,36.30854465459133,52.9,52.096175509046276,29.586054923790467,36.44689376790676,51.81628575822457,38.391342360565794,38.339320207215756,18.603184167270527,36.04538472642162,78.21235111170236,50.42569958631194,32.986612049601604,131.44354454502144,39.564064682244016,456.13034023359955,71.93693304923194,44.11110820509171,34.4452947624215,74.71569579040269,43.23073996122705,92.2949518694003,37.17448124295886,44.07011836313928,60.81608412625853,39.62815394736814,101.45191296221995,41.05493976713261,50.215543570284005,50.621841388173,171.0774388117088,52.74157679499911,33.90497646877989,59.436409066970974,46.600818209196596,63.68566686708857,61.99825600003265,38.31016108028231,48.74685803239081,27.137209110165564,96.41723058059358,144.28794992175273,76.5054264689961,85.38510606910734,41.058948162808754,46.31927455647573
Prince Edward Island,2013,64.4,61.09833848782215,68.6096201474866,125.62948319166593,88.92662076476734,0.0,77.78370728480448,66.23105587508556,91.64909135551524,68.50668802753081,61.3,137.0951987080165,47.33768787806475,43.32366617694577,56.466465249347294,93.63742039162388,72.53384904067846,39.86396607272256,61.924122478724314,0.0,56.2440495385787,42.839755908573515,0.0,80.40438951552815,0.0,55.207413735457074,116.08186369760975,68.890589524843,94.57683011443379,74.10983993353209,0.0,45.894421287603535,104.92885324556971,0.0,80.87378356605743,0.0,67.30317994611903,0.0,124.74668056371203,462.3714562478616,65.65788131622338,53.90021900165009,100.73967638469657,87.92607209282377,99.50885447982589,0.0,64.57998582104733,88.01516033626119,15.360684401980508,0.0,0.0,129.6702143542307,0.0,93.3157912791108,80.68518793708677
Alberta,2014,55,39.95089841306977,33.575644137719735,64.7578273259812,41.528541256639045,72.85361616151398,34.15719834470435,40.40348896479008,64.04039732142836,36.69125842262635,54.6,52.66247336545483,30.69111430624953,37.16087637639189,37.10439432048191,35.13652525558204,35.38020067092732,19.261958222607145,34.49876020472296,82.99698548419272,41.47013872082327,30.9054748309756,0.0,39.93350121813972,376.9577260322287,52.716372286624804,43.615171582769534,34.98436794177071,59.151084041278224,41.92412353474562,83.02198662480806,35.49759474001058,45.08764848765452,53.01782089638555,40.93629918687949,102.03664218171207,39.126283204960885,43.71970943309701,63.38831226022406,171.76866977800648,47.30820440650501,32.84065231193919,57.62844453735339,29.512280656264572,71.13246711037846,104.01712766246713,34.25910621966914,49.21245574695247,29.93910905887194,107.99213088246555,0.0,72.62471749860508,79.86593733373928,47.87973542197534,72.90134242819514
British Columbia,2014,48,35.853370370703644,30.04136580743345,64.7578273259812,38.45235301540653,80.03636705067734,36.78467514045083,39.75181978793862,74.71379687499974,36.69125842262635,0.0,46.46688826363661,27.721006470160866,34.885720679878105,46.17435737659971,39.60844665174703,35.38020067092732,18.521113675583795,33.73212108906245,76.22172136303412,43.1289442696562,29.051146341117065,0.0,38.53232573680148,440.6688909954223,69.721653669407,35.53828795633073,38.04550013667564,81.12148668518157,41.92412353474562,94.02490051484287,32.48932399933171,45.713865827760834,60.2066779670819,36.314458956102776,96.2391056941148,34.77891840440967,49.18467311223414,61.57721762421766,145.11491067452272,45.39030422786291,33.48458667099682,58.62203840868707,30.332066230049698,64.5663932232666,48.88805000135955,34.25910621966914,48.142619752453506,28.320778839473455,111.33209369326345,0.0,83.79775095992893,110.92491296352678,42.92665934383996,57.17752347309422
Manitoba,2014,61.5,38.92651640247824,30.92493539000502,64.7578273259812,47.68091773910409,82.0885815904383,44.667105527690296,40.40348896479008,72.7731787743504,45.7384180336849,56.9,58.23849995709122,32.671186196975306,34.885720679878105,60.19157300878176,56.21844040893127,45.48882943404941,23.707025504747257,34.49876020472296,84.69080151448236,74.64624969748189,27.196817851258526,0.0,46.23879088416178,0.0,66.32059739285056,49.268990121276694,33.23514954468217,81.12148668518157,46.79902162018115,0.0,43.31909866577561,62.62173401063128,89.86071338370432,41.59656207699045,115.95072975194553,43.47364800551209,51.006327671946515,68.82159616824326,204.3454864600422,46.668904346957646,33.48458667099682,80.48110357802801,37.71013639411584,95.20807136312193,0.0,36.621803200335975,57.77114370294421,38.03076015586436,0.0,0.0,79.3285375753994,90.95842863009196,49.530760781353806,61.465837733576286
New Brunswick,2014,64,43.02404444484437,28.274226642290305,68.93575166959289,44.604729497871574,100.55851244828692,40.287977534779486,48.875188263858966,54.33730681818164,33.6755385522735,64.3,51.423356345091186,28.711042415523753,31.093794519021785,28.858973360374815,37.05306299679561,37.907357861707844,25.92955914581731,32.96548197340194,0.0,43.1289442696562,32.75980332083414,0.0,44.837615402823545,0.0,79.92482249907631,50.884366846564454,36.29628173958711,62.531145986494124,44.849062386006935,0.0,44.522406962047164,41.33034444701664,0.0,48.19919097810004,0.0,40.575404805144615,91.08272798561877,68.82159616824326,201.38395767076622,44.11170410876819,31.55278359382392,79.48750970669434,51.646491148463,74.41550405393438,0.0,35.440454710002555,53.49179972494834,48.549906581954495,0.0,0.0,81.56314426766416,105.37866731535044,44.577684703218424,48.60089495213009
Newfoundland and Labrador,2014,67.5,61.46292063549196,39.76063121572074,87.7364112158455,50.75710598033662,0.0,50.797884717765434,59.30189509348221,84.41688737824647,49.759377860822035,69.2,58.23849995709122,32.671186196975306,34.12733544770684,55.24432043271751,63.88459137378554,50.543143815610456,33.33800461605083,38.33195578302551,0.0,27.37029155574336,37.70467929379023,0.0,45.538203143492666,0.0,68.02112553112879,46.845925033345054,35.85897714031498,72.67133182214181,53.623878939790906,0.0,49.93729429526911,56.985777949674464,0.0,57.44287143965348,0.0,55.79118160707385,78.33114606763215,76.06597471226887,248.7684182991818,51.783304823336564,44.431470774976546,99.35938713336792,61.48391803388452,109.43456478519762,0.0,41.34719716166965,79.16786359292354,80.91651096992416,0.0,0.0,73.74202084473747,62.117951259574994,59.43691293762456,48.60089495213009
Nova Scotia,2014,62.6,59.414156614308894,36.22635288543445,64.7578273259812,46.14282361848783,102.61072698804787,44.667105527690296,42.35849649534444,97.0309050324672,44.230558098508475,61.0,55.760265916363934,32.671186196975306,34.12733544770684,59.36703091277105,43.441522134174164,42.961672243268886,25.92955914581731,36.79867755170449,69.44645724187554,44.78774981848914,38.940898287029256,0.0,43.43643992148531,292.0095060813039,47.61478787179015,40.384418132194014,43.73045992721338,86.19157960300541,46.79902162018115,0.0,36.70090303628212,44.46143114754821,43.133142424178075,44.89787652754525,95.07959839659534,43.47364800551209,39.165573033816074,67.01050153223686,219.15313040642206,47.30820440650501,32.84065231193919,68.55797712202386,46.72777770575224,91.925034419566,0.0,42.52854565200307,62.05048768094007,59.87821811774388,0.0,0.0,81.56314426766416,79.86593733373928,49.530760781353806,62.89527582040364
Ontario,2014,54.6,38.92651640247824,33.575644137719735,64.7578273259812,41.528541256639045,76.9580452410359,40.287977534779486,36.49347390368136,75.68410592532442,39.20435831458706,53.2,52.66247336545483,28.711042415523753,36.402491144220626,55.24432043271751,38.96960073800918,39.1709364570981,20.0028027696305,32.96548197340194,72.83408930245483,54.74058311148672,30.9054748309756,153.02525011910438,42.035264440147074,530.9263746932799,71.42218180768522,48.461301758632814,38.48280473594778,74.36136279474977,46.79902162018115,100.0264899094073,35.49759474001058,45.713865827760834,77.28021350998573,44.237613637434286,107.83417866930935,39.85084400505275,61.936255030220764,57.955028352204856,165.84561219945454,54.340505061526024,30.908849234766294,59.61563228002075,43.44863541061173,64.5663932232666,69.69147553385298,35.440454710002555,54.56163571944731,25.89328351037573,82.38574933301496,116.11893583724573,80.44584092153178,102.05091992644464,42.92665934383996,52.88920921261215
Prince Edward Island,2014,61,63.51168465667502,58.31559244972375,85.64744904403965,72.29042366896427,0.0,87.58255985821627,65.1669176851453,88.29812357954516,50.26199783921418,64.4,61.95585101818215,34.65125808770108,47.01988439461831,82.4542096010709,62.606899546309826,73.28755853263516,41.4872946333077,57.49793367453827,0.0,82.94027744164654,61.8109496619512,0.0,70.0587740669118,0.0,170.05281382782195,80.76883626438803,31.92323574686577,169.00309726079493,74.09845089862016,0.0,60.16541481357724,53.8546912491429,0.0,65.366026120985,0.0,72.45608000918682,0.0,121.34334061242892,296.1528789275974,63.9300059547365,48.93901128837996,98.36579326203423,81.97855737851269,100.6797996023818,0.0,42.52854565200307,89.86622353791321,80.91651096992416,0.0,0.0,111.73033461323858,0.0,82.551267968923,64.324713907231
