states,year,y,autoregression data,cholesterol,diabetes mellitus,diabetic,diabetic diet,endocrine,glucose,glycogen,hypertension,obesity,sclerosis,signs of diabetes,sugar level,type 1 diabetes,type 2 diabetes
Nova Scotia,2012,8.6,8.6,63.21202962332093,87.89980632439197,54.525268081669914,95.29415528318793,77.14063458451105,49.528175786040244,29.562044158962205,54.30437645364308,68.6868652042628,52.768555719291804,53.916987609699426,0.0,124.67812824592161,66.95589900236342
Ontario,2012,6.7,6.5,47.652145408349625,82.33652744310133,35.367741458380486,47.64707764159397,42.855908102506135,44.88490930609897,28.91939102507172,45.730001224120485,52.588381172013705,41.225434155696725,39.28237668706672,110.02638522427442,85.19672096804644,71.01383227523394
Prince Edward Island,2012,8,7.1,97.24927634357066,0.0,128.20806278662926,0.0,171.42363241002454,77.38777466568789,64.26531338904827,95.27083588358435,107.32322688166063,82.45086831139345,0.0,0.0,0.0,0.0
Alberta,2013,5.3,6.1,44.03216658724377,101.12029079596756,41.995762540715255,53.136646292749646,59.16571991697015,46.26417984080013,27.793133332780187,45.1107320070965,39.07766717389315,41.96901076387479,45.373385435184154,0.0,93.34342892382557,75.4837904413954
British Columbia,2013,5.5,5.7,48.716439628439915,60.67217447758053,36.74629222312585,44.96177763232662,44.37428993772761,50.470014371781964,31.763580951748786,44.13006391998571,39.78817021341848,38.74062532049981,40.20426557547963,0.0,87.12053366223721,79.21138503109394
Manitoba,2013,7,6.2,67.4535317932245,71.79540646513696,45.93286527890731,29.429527177522882,57.93310075203327,49.418555739036506,32.55767047554251,50.014072442650466,53.28772796439975,44.121267726124785,50.54250529488868,0.0,104.54464039468463,86.66657421049102
New Brunswick,2013,7.6,7.4,60.8955495355499,47.526536674104754,59.056541072880826,0.0,53.00262409228576,44.161262575309216,28.58722285657391,54.91741287820443,37.65666109484249,44.121267726124785,0.0,0.0,0.0,0.0
Newfoundland and Labrador,2013,8.6,7.7,25.295074422459187,65.72818901737891,24.934984008549684,0.0,19.72190663899005,19.977714022163696,14.293611428286955,22.55536600354825,28.4201215810132,17.218055697999915,19.527786136661533,0.0,47.29400398807162,38.207844544410015
Nova Scotia,2013,7.6,8.6,54.337567277875294,71.79540646513696,56.43180591408613,63.76397555129957,92.44643737026585,57.83022480100017,31.763580951748786,46.091400094207295,52.57722492487442,51.654167093999746,55.7116251545932,0.0,98.32174513309627,66.16480396714906
Ontario,2013,6.7,6.7,47.779585020200685,72.80660937309665,39.37102738192055,44.14429076628432,43.14167077279073,46.26417984080013,28.58722285657391,44.13006391998571,51.15621884582376,39.816753801624806,40.20426557547963,164.46789797713285,90.85427081919022,74.55189179397077
Prince Edward Island,2013,8.9,8,93.68546082392292,0.0,106.3017739311855,0.0,123.2619164936878,105.14586327454576,79.40895237937197,98.06680871107935,71.050303952533,107.61284811249948,0.0,0.0,0.0,0.0
Alberta,2014,5,5.3,43.54267896913978,82.82452233324882,42.51489794469159,52.41112413630681,54.86293782605155,47.96283690754103,23.326869285512736,46.75353074470248,34.2171466258812,34.67827972858811,44.49440149355947,0.0,95.8500437405253,77.0312437293432
British Columbia,2014,5.5,5.5,47.650478871888815,46.588793812452465,37.453600570323545,52.41112413630681,42.51877681518995,50.59093756000903,28.37051669859657,43.83143507315857,35.320925549296724,33.026933074845815,44.49440149355947,0.0,92.98884840498722,78.16405613712766
Manitoba,2014,5.6,7,66.54635842453438,51.76532645828052,48.58845479393325,55.905199078727264,61.72080505430799,47.305811744424034,38.45781152476424,56.49384964984883,41.94359908978986,36.329626382330396,51.78856567283152,0.0,105.86422741490853,92.89061743832562
New Brunswick,2014,8.4,7.6,48.47203885243862,38.82399484371039,59.72330901754295,0.0,38.404056478236086,46.64878658130703,26.479148918690132,48.70159452573175,43.04737801320538,37.15529970920154,0.0,0.0,0.0,0.0
Newfoundland and Labrador,2014,9,8.6,69.8325983467336,86.27554409713419,68.83364429140543,0.0,82.29440673907732,51.904987886243035,34.67507596495136,59.41594532139273,70.64185109859345,52.8430929197533,72.94164179272045,0.0,143.05976677690342,113.28124077844588
Nova Scotia,2014,8.2,7.6,51.75827877463785,75.9224788054781,54.66201164317491,48.917049193886356,80.92283329342604,53.21903821247704,19.544133725699858,43.83143507315857,49.67005155369852,42.10933967042841,70.02397612101163,0.0,98.71123907606336,95.15624225389453
Ontario,2014,7.4,6.7,49.29359883298843,76.78523424644943,41.50263846981798,45.4229742514659,48.005070597795104,49.93391239689203,30.892340405138487,44.80546696367321,47.46249370686748,38.80664636294383,43.76498507563227,171.10817941952507,101.57243441160142,81.56249336048103
Prince Edward Island,2014,8.4,8.9,82.15599805498071,0.0,101.22594748736094,0.0,137.15734456512888,65.70251631170004,63.045592663547936,97.4031890514635,110.37789234155227,82.56733268711454,0.0,0.0,0.0,0.0
