states,year,y,autoregression data,cholesterol,diabetes mellitus,diabetic,diabetic diet,endocrine,glucose,glycogen,hypertension,obesity,sclerosis,signs of diabetes,sugar level,type 1 diabetes,type 2 diabetes
Delaware,2012,9.60,9.7,61.31005835552732,20.3486362887615,47.18424347621237,34.570995183268494,36.15063820160585,93.6336737994139,37.959731625089745,52.46362842040077,39.92875059489675,34.07027489653601,48.12835495151498,0.0,53.22568023460492,65.40165788291031
District of Columbia,2012,8.20,9.1,47.31984369721907,12.818038607093857,31.615838268325042,19.325401034125246,24.853563763604022,51.518964623258306,22.61984007796444,36.285417013228724,22.27318060395601,25.958304683075053,42.9313964356237,0.0,32.08820913665177,42.91059001367419
Florida,2012,11.40,10.4,49.994443558366235,23.232694975357617,41.19639531933263,28.343921516717025,30.241399264804894,67.05643014455842,35.35975000693292,42.29446696446406,21.72993229654245,26.45750285005727,34.34511714849895,97.16353413227597,35.14422905442813,47.64555167035547
Georgia,2012,9.90,10.1,47.525582148076545,17.785028567342728,40.23833961423187,30.92064165460039,31.110404990805034,59.69657805552153,32.4997702269604,38.13435545976267,23.49548929563652,25.209507432601736,44.739034180281536,110.43084401379156,36.92690733979767,47.94148677389805
Idaho,2012,8.30,9.4,50.405920460081184,32.365547482911985,43.59153458208453,29.41755490750176,35.45543362080574,79.73173096456642,48.87965442134844,45.067874634264975,33.002334675373845,30.950286352897184,47.224536079186066,0.0,60.10172504960173,62.442306847484495
Illinois,2012,9.40,9.7,45.67393609035928,19.227057910640784,37.84320035147997,24.90829466620587,23.463154602003797,62.14986208520049,31.459777579697672,37.441003542312444,23.088053065076352,27.58069872576725,44.061170026034844,88.57880420894236,37.94558064572312,48.533356980983214
Indiana,2012,10.90,10.2,52.874781870370875,27.078106557485775,51.016466296615405,39.50970878087828,38.41005308920622,90.36262842650862,46.539670965007296,46.223461163348695,31.644213906839944,30.575887727660525,46.32071720685714,0.0,56.53636847886264,69.24881422896385
Iowa,2012,9.70,8.2,52.463304968655926,30.28261620925924,49.10035488641389,34.570995183268494,31.45800728120509,84.2294183523112,50.439643392242544,48.30351691569939,35.44695205873487,30.825486811151627,47.90240023343276,0.0,51.443001949235374,63.03417705456966
Kansas,2012,9.40,9.5,52.05182806694098,22.7520185275916,49.33986881268908,32.42372840169902,28.50338781280461,79.32285029295326,39.77971875779953,42.5255842702808,30.014468984599258,30.326288644169416,49.25812854192613,0.0,40.74693223701812,58.59515050143095
Kentucky,2012,10.60,10.7,53.903474124658246,26.43720462713108,56.76480052721996,52.60803614845206,33.71742216880546,76.8695662632743,42.37970037595637,48.07239960988264,31.100965599426377,33.8206758130449,58.97418141946202,0.0,49.405655337384474,61.25856643331418
Louisiana,2012,12.20,11.8,50.20018200922371,26.276979144542405,47.90278525503795,40.58334217166301,32.32701300720523,70.32747551746372,31.71977574151335,46.68569577498218,25.125234217877207,31.075085894642736,42.253532281377005,0.0,38.45491729868585,51.196772912866436
Maine,2012,9.70,9.6,60.692843002954895,23.873596905712308,47.90278525503795,34.78572186142544,33.543621023605425,81.36725365101906,43.159694861403416,48.53463422151613,30.557717292012818,32.94707902082603,38.63825679206133,0.0,41.00160056349948,48.8292920845258
Maryland,2012,10.20,9.4,53.28625877208582,20.02818532358415,40.71736746678225,27.485014804089236,39.80046225080644,78.50508894972694,41.85970405232499,48.53463422151613,32.59489844481367,30.700687269406075,42.253532281377005,0.0,43.54828382831312,59.77889091560127
Massachusetts,2012,8.40,8,49.37722820579381,18.746381462874766,32.33438004715061,19.540127712282192,28.850990103204673,71.55411753230321,39.77971875779953,39.75217660047988,25.125234217877207,30.326288644169416,37.05657376548571,75.70170932394193,39.4735906046113,47.64555167035547
Michigan,2012,10.40,10,44.645243836071906,21.95089111464823,42.154451024433385,30.70591497644344,28.155785522404557,68.2830721593979,37.699733463274065,42.5255842702808,26.34754290955772,28.828694143222776,44.061170026034844,96.7733191357608,39.98292725757403,52.67644843057934
Minnesota,2012,7.30,7.3,49.58296665665129,23.713371423123636,37.3641724989296,21.04321445938082,27.286779796404417,76.05180492004797,33.27976471240745,40.21441121211336,26.48335498641111,27.83029780925835,43.157351153705925,0.0,47.368308725533566,53.56425374120708
Mississippi,2012,12.50,12.3,55.343643280660565,36.05073358245147,67.5429272096035,51.53440275766732,47.44771263960768,90.36262842650862,42.11970221414068,64.01949371123794,36.53344867356199,34.07027489653601,62.5894569087777,0.0,50.93366529627265,65.69759298645289
Missouri,2012,10.70,10.2,50.20018200922371,20.98953821911619,46.465701697386805,35.42990189589628,26.93917750600436,74.82516290520849,39.51972059598385,41.832232352830566,25.940106678997548,29.078293226713885,50.16194741425505,95.6026741462153,45.58563044016402,53.860188844749665
Montana,2012,7.20,7.9,54.93216637894562,27.719008487840465,44.54959028718529,34.570995183268494,31.284206136005064,90.77150909812177,58.23958824671304,44.60564002263148,31.50840182998655,30.201489102423864,0.0,0.0,52.20700692867946,58.299215397888375
Nebraska,2012,8.10,8.4,52.05182806694098,26.276979144542405,47.18424347621237,31.564821689071234,31.63180842640512,81.36725365101906,48.61965625953276,47.8412823040659,32.45908636796028,30.326288644169416,49.71003797809059,0.0,53.48034856108628,62.14637174394192
Nevada,2012,8.90,10.3,49.17148975493634,17.9452540499314,41.43590924560782,28.558648194873975,30.067598119604867,60.51433939874785,33.539762874223136,40.21441121211336,23.631301372489915,27.455899184021693,37.7344379197324,0.0,30.305530851282224,51.196772912866436
New Hampshire,2012,9.10,8.7,55.13790482980309,21.30998918429354,44.310076360910095,28.343921516717025,33.19601873320537,76.05180492004797,48.09965993590139,43.21893618773103,31.644213906839944,32.697479937334926,47.224536079186066,0.0,48.64165035794038,55.04392925891999
New Jersey,2012,9.30,8.8,54.314951026373194,20.50886177135017,37.124658572654404,25.337748022519765,28.850990103204673,70.32747551746372,34.839753683301545,40.21441121211336,26.34754290955772,29.951890018932758,34.11916243041673,107.69933903818541,39.218922278129945,50.60490270578128
New Mexico,2012,10.20,10,56.16659708409046,27.238332040074447,55.56723089584401,36.718261964837964,35.28163247560571,88.31822506844281,48.87965442134844,50.61468997386682,32.1874622142535,31.324684978133842,50.613856850419516,0.0,43.54828382831312,74.87158119627288
New York,2012,9.70,10.3,45.4681976395018,17.144126636988034,32.09486612087542,19.75485439043914,27.98198437720453,58.878816712295205,33.539762874223136,36.05429970741198,23.088053065076352,26.707101933548373,33.893207712334494,88.57880420894236,33.61621909553995,42.318719806589016
North Carolina,2012,10.40,10.7,51.02313581265361,20.82931273652752,44.54959028718529,32.853181758012916,40.495666831606556,71.96299820391636,44.97968199411319,42.29446696446406,28.792160292918748,28.07989689274946,42.253532281377005,100.67546910091245,43.54828382831312,54.747994155377405
North Dakota,2012,8.60,8.3,56.783812436662885,39.89614516457963,54.13014733819287,0.0,47.273911494407656,97.31359984393235,63.69954964484239,51.77027650295054,31.91583806054672,37.19026344017484,61.233728600284316,0.0,64.94042325274762,79.31060774941159
Ohio,2012,11.60,10,52.463304968655926,24.354273353478327,49.81889666523946,37.57716867746576,30.067598119604867,78.09620827811378,43.4196930232191,48.07239960988264,28.384724062358575,31.823883145116053,47.450490797268294,104.18740406954893,45.076293787201294,59.48295581205869
Oklahoma,2012,11.40,11.1,53.69773567380077,30.122390726670563,59.878481568797426,52.39330947029511,31.63180842640512,82.18501499424539,53.559621334030744,44.143405410998,29.063784446625522,32.57268039558937,50.38790213233728,0.0,51.188333622754016,65.99352808999546
Oregon,2012,9.90,9.3,52.05182806694098,20.98953821911619,44.54959028718529,28.988101551187867,27.98198437720453,71.55411753230321,39.51972059598385,40.21441121211336,28.24891198550518,27.455899184021693,37.05657376548571,0.0,45.33096211368266,56.22766967309031
Pennsylvania,2012,10.20,9.5,53.69773567380077,22.591793045002923,43.35202065580934,28.343921516717025,28.850990103204673,77.68732760650062,39.51972059598385,48.99686883314962,27.841475754945012,31.699083603370504,47.90240023343276,99.89503910788211,42.2749421959063,53.2683186376645
Rhode Island,2012,9.70,8.4,55.96085863323299,22.431567562414248,40.71736746678225,37.14771532115186,31.63180842640512,80.54949230779275,33.01976655059177,41.369997741197075,35.44695205873487,32.32308131209827,31.181751095347735,0.0,45.58563044016402,67.47320360770837
South Carolina,2012,11.60,12,53.69773567380077,23.232694975357617,51.49549414916579,45.736782447429746,36.672041637205936,77.68732760650062,33.27976471240745,46.45457846916543,31.50840182998655,28.828694143222776,52.19553987699512,0.0,48.38698203145902,58.003280294345785
South Dakota,2012,7.80,9.4,56.57807398580541,47.747193811424616,61.31556512644856,15.24559414914325,45.7097011876074,122.66420148394835,61.8795625121326,62.40167257052074,38.97806605692302,35.19347077224599,0.0,0.0,73.59914635311398,79.90247795649675
Tennessee,2012,12.00,11.2,55.755120182375514,26.597430109719756,59.63896764252224,47.66932255084227,36.32443934680588,78.9139696213401,36.13974449237997,55.23703609020169,27.43403952438484,33.44627718780824,46.7726266430216,111.2112740068219,44.82162546071993,66.8813334006232
Texas,2012,10.60,10.2,46.085412992074225,20.3486362887615,43.11250672953415,31.994275045385127,33.71742216880546,63.78538477165314,34.319757359670184,37.441003542312444,19.964375297448374,24.710309265619525,42.253532281377005,104.96783406257926,35.398897380909496,47.94148677389805
Utah,2012,7.20,6.6,46.085412992074225,22.111116597236904,40.956881393057444,25.55247470067671,27.460580941604444,76.05180492004797,51.47963603950527,40.90776312956359,30.69352936886621,27.08150055878503,45.86880777069268,0.0,53.98968521404901,62.14637174394192
Vermont,2012,7.20,7.7,56.372335534947936,18.746381462874766,37.3641724989296,0.0,35.10783133040568,89.13598641166914,67.59952207207763,45.29899194008171,39.38550228748319,34.07027489653601,0.0,0.0,49.1509870109031,76.05532161044322
Virginia,2012,10.50,10.4,54.10921257551572,20.98953821911619,42.87299280325896,29.847008263815656,26.765376360804332,71.55411753230321,39.25972243416817,40.21441121211336,27.298227447531453,27.83029780925835,41.575668127130314,99.11460911485179,40.74693223701812,53.860188844749665
Washington,2012,8.70,8.9,44.85098228692938,16.342999224044668,36.64563072010402,22.546301206479452,24.332160328003937,65.01202678649263,35.09975184511723,33.743126649244545,21.32249606598228,24.835108807365074,35.474890738910105,75.70170932394193,42.02027386942493,47.64555167035547
West Virginia,2012,13.00,12,61.10431990466984,35.409831652096784,71.61466395628173,64.41800344708415,36.32443934680588,98.54024185877184,53.03962501039938,67.94848791012258,37.89156944209589,35.567869397482646,52.64744931315958,0.0,55.008358519974465,71.02442485021933
Wisconsin,2012,8.30,8.4,48.965751304078864,23.55314594053496,43.11250672953415,26.4113814133045,30.241399264804894,74.82516290520849,40.039716919615216,39.28994198884639,27.43403952438484,30.326288644169416,45.86880777069268,0.0,45.84029876664538,59.48295581205869
Wyoming,2012,9.00,8.2,56.57807398580541,34.28825327397607,51.016466296615405,0.0,36.672041637205936,104.2645712613561,60.57957170305419,52.46362842040077,37.89156944209589,32.82227947908048,0.0,0.0,65.44975990571035,81.38215347420966
Alabama,2013,13.80,12.2,54.839513877105276,27.89022787909371,65.25717929656514,52.26307502230628,35.361614099104784,80.62693300987031,41.90713815945567,52.41153178446963,26.213871442596364,32.176513601157,47.926604356612486,0.0,54.30120502398897,68.12649721879795
Alaska,2013,7.10,6.9,50.251347377427145,18.43853954228973,47.9906882764623,0.0,27.21377674908064,78.44782671230625,27.410958292977295,46.86207547787873,25.71455960559453,24.16576332701003,0.0,0.0,45.57924981288193,66.147719291281
Arizona,2013,10.60,10.7,48.94044266323339,22.00229088239615,46.72109334851356,30.07946763873743,33.080219641098026,76.26872041474219,44.279240319424865,44.39565045272722,23.842140216837645,24.16576332701003,43.04088255326849,0.0,44.17248284334855,56.81919477584394
Arkansas,2013,11.50,11.2,59.86464861484799,26.960553616457254,69.06596408041135,41.54726467600607,37.64300855711155,89.34335820012656,49.81414535935297,50.561713015605996,32.954581242121144,30.173826032620255,53.97559325599075,0.0,55.707971993522364,76.60697405101347
California,2013,10.20,9.8,45.663180877749014,18.748430963168552,35.80257696815441,21.807614038084633,27.21377674908064,69.29558026253719,38.21720146617027,34.52995035212117,20.971097154077093,21.36200073105859,33.96739920420108,114.24436572768,37.13864799568157,49.186765626849976
Colorado,2013,6.50,7.4,45.44469675871672,17.663810990092685,36.05649595374416,21.807614038084633,31.613608918093682,68.42393774351157,39.79860290614973,36.58530453974743,22.968344502084435,25.367375868132076,36.75924023468336,0.0,47.83007696413536,51.73090867651463
Connecticut,2013,8.30,9.1,55.93193447226673,20.452833778002056,39.103523780821135,22.55960072905307,36.01344108710672,81.06275426938313,49.55057845268973,43.16243794015146,27.711806953601872,29.506263509774676,39.31842784595879,0.0,44.45383623725522,58.51529014228704
Delaware,2013,11.10,9.6,64.01584687646154,21.69239946151733,45.70541740615457,28.763490929542666,36.01344108710672,98.93142590940845,51.13197989266919,56.31670474095952,35.201484508629406,32.710563619433465,55.13886035202504,0.0,51.487671084922184,66.147719291281
District of Columbia,2013,7.80,8.2,51.3437679725886,15.494571043940951,36.05649595374416,18.987663946953,31.776565665094164,58.40004877471687,30.83732807959946,39.873871239949445,25.839387564844987,25.500888372701187,38.85312100754507,0.0,39.95218193474837,42.40238416107756
