states,year,y,Slim,abdominal,apnea,autoregression data,calories,cholesterol,diabetic,diet,dietary,dresses plus size,exercise,food delivery near me,gastric,healthy,how to lose weight,inactivity,insulin,malnutrition,mcdonalds menu,mcdonalds near me,meals,nutrition,obese,pizza delivery,symptoms of  high blood sugar,symptoms of congestive heart failure,unhealthy,visceral,weighing,weight loss,wellness
New York,2011,24.5,61.0,65.0,54.5,24.5,93.5,65.0,41.0,57.0,48.0,39.5,61.0,27.5,46.0,61.0,51.0,45.0,48.5,39.0,52.0,37.0,44.5,50.0,59.5,50.0,27.5,33.5,73.5,59.0,45.5,58.0,24.0
North Carolina,2011,29.1,66.5,75.0,68.0,28.6,75.5,76.0,61.0,67.0,57.5,51.5,72.5,24.0,66.5,63.5,62.5,64.0,61.0,54.0,82.0,25.5,65.5,67.0,63.5,63.0,50.0,73.0,66.0,55.5,55.5,78.5,34.5
North Dakota,2011,27.8,65.5,99.0,85.5,27.9,92.0,92.33333333499999,70.5,82.5,94.5,76.5,96.5,0.0,100.0,89.0,80.5,0.0,100.0,100.0,62.0,0.0,100.0,85.0,97.5,71.0,0.0,0.0,81.5,100.0,85.0,89.5,76.5
Ohio,2011,29.7,59.0,76.0,67.5,29.7,82.0,74.0,60.5,66.0,69.0,53.5,69.5,54.0,51.5,69.5,61.5,46.0,65.0,55.0,90.0,30.0,64.5,74.0,76.5,53.0,46.5,79.0,70.5,63.0,52.0,72.0,32.0
Oklahoma,2011,31.1,72.5,80.0,77.0,31.3,80.5,76.33333333499999,78.0,78.5,70.5,59.0,71.5,26.5,65.0,65.0,69.0,66.5,65.0,62.5,79.0,10.5,74.5,74.0,77.0,53.5,61.0,0.0,63.0,58.0,47.5,80.0,26.0
Oregon,2011,26.7,57.0,66.0,63.0,27.6,79.5,75.5,58.0,70.0,66.0,34.5,70.0,24.5,41.5,71.5,45.0,59.5,59.5,51.5,50.5,20.0,62.5,60.0,67.5,83.0,26.0,0.0,64.5,74.5,48.5,63.0,44.5
Pennsylvania,2011,28.6,58.0,76.5,65.5,29.2,82.0,76.5,55.0,63.0,69.0,49.5,72.5,31.5,59.0,64.0,60.5,57.0,65.5,61.0,68.0,20.0,60.0,61.5,71.0,58.0,42.0,54.0,76.0,65.5,54.0,68.0,30.5
Rhode Island,2011,25.4,63.0,81.0,61.0,26,83.5,85.0,49.5,67.0,79.0,51.0,74.0,59.0,58.0,70.5,64.0,87.0,67.5,69.0,61.0,75.0,57.0,67.5,83.0,75.0,0.0,0.0,77.5,70.0,47.5,77.0,30.5
South Carolina,2011,30.8,67.5,79.5,67.0,32,73.0,75.33333333499999,68.0,71.5,61.0,67.0,75.5,56.5,55.5,71.0,75.0,45.5,61.0,52.5,79.5,12.0,74.0,57.0,74.0,64.5,52.0,0.0,64.5,52.5,51.5,82.5,32.5
South Dakota,2011,28.1,67.0,99.0,100.0,27.7,92.0,100.0,83.0,90.0,95.0,61.5,97.0,72.0,72.0,89.0,71.0,0.0,87.0,86.5,71.0,0.0,90.5,91.5,100.0,52.5,0.0,0.0,80.0,46.0,82.5,98.0,100.0
Tennessee,2011,29.2,64.0,81.5,78.5,31.7,77.0,86.5,82.5,76.0,61.0,63.0,75.0,40.0,67.5,63.5,70.5,57.0,80.0,61.0,73.0,5.5,71.0,64.5,72.0,59.0,72.0,88.0,64.5,66.5,49.0,86.5,29.5
Texas,2011,30.4,74.0,68.0,58.5,31.7,81.5,67.83333333499999,55.5,67.0,49.0,40.5,59.0,33.5,55.5,60.0,62.0,43.0,51.0,41.5,68.0,35.0,60.5,60.5,59.0,64.0,40.0,43.0,60.5,50.0,48.5,72.5,24.0
Utah,2011,24.4,62.5,64.0,71.0,23,85.5,71.66666666500001,54.0,70.5,75.5,38.5,86.5,4.5,48.0,74.0,61.5,65.5,69.0,66.5,55.5,20.5,84.5,71.0,68.0,52.5,18.5,0.0,68.5,59.5,53.0,68.5,25.0
Vermont,2011,25.4,52.5,79.5,69.5,23.9,85.0,81.33333333499999,52.5,71.0,66.5,52.0,85.0,45.0,40.0,100.0,44.0,0.0,70.0,63.5,48.5,0.0,75.0,59.0,88.0,64.0,0.0,0.0,95.0,57.5,64.5,65.5,48.5
Virginia,2011,29.2,64.5,70.0,70.5,26.4,76.5,77.0,54.0,63.0,55.0,48.0,74.0,27.0,48.5,62.5,60.5,72.0,52.5,57.0,64.5,13.0,63.0,62.0,65.0,70.5,44.5,58.0,70.0,56.5,52.0,69.5,28.5
Washington,2011,26.5,59.0,63.5,65.0,26.2,83.5,67.83333333499999,49.0,69.0,55.0,34.0,65.5,27.5,42.5,61.5,47.0,49.0,54.0,54.0,55.5,36.0,57.0,56.0,65.5,85.5,30.5,0.0,69.5,62.5,44.5,62.5,33.0
