states,year,y,Slim,abdominal,apnea,autoregression data,calories,cholesterol,diabetic,diet,dietary,dresses plus size,exercise,food delivery near me,gastric,healthy,how to lose weight,inactivity,insulin,malnutrition,mcdonalds menu,mcdonalds near me,meals,nutrition,obese,pizza delivery,symptoms of  high blood sugar,symptoms of congestive heart failure,unhealthy,visceral,weighing,weight loss,wellness
Minnesota,2013,25.5,69.12396600500469,90.42854282191222,77.91276593280921,25.7,104.4624072114468,87.56164485665438,62.35967945494526,72.22570869705845,77.3798419548971,55.52811864847317,84.92925744228566,751.7245375888682,66.98196746681268,96.11746969680182,57.510611252036924,81.48177612982778,76.64632075802577,57.82620894312845,122.95500016772526,430.8731731615351,93.49556748579045,80.21471382744181,74.99038410014933,126.20938277980324,58.246136498814955,0.0,92.15069676055235,89.21394317952281,59.3535744267705,81.47008626706493,49.347211733613385
Mississippi,2013,35.1,105.46749452309994,107.10330958339958,83.2492567501249,34.6,81.72647152424955,91.56773318342943,104.51020353097307,86.34502017167138,86.33288151992653,137.1064657986992,90.91019106498183,401.9121290079097,85.10004063406528,82.68929378327805,90.63672333321018,86.15696000612938,79.61710838430584,79.1967644221107,126.4680001725174,346.5719001516695,89.21332775361682,51.379359183590175,89.86942856446468,72.33952427622869,125.98892568765409,0.0,93.57938973358416,62.03156986701196,74.02524450979242,111.26138646920062,28.607079265862833
Missouri,2013,30.4,87.6520393671709,98.12458901952178,77.37911685107764,29.6,102.61895296653891,87.18011263314911,73.90776824289809,79.28536443436492,76.74033912882358,70.60982988633008,84.92925744228566,744.281720385018,68.629065027472,91.87699309253115,64.87196949229765,62.11315721372118,80.80542343481787,64.11166643694676,140.520000191686,393.40594071270596,92.78186086376151,78.11759712607078,88.08394322874683,98.50488412082204,71.5414502648488,101.4029907178305,91.43635027403644,78.06220028208246,68.02319765764709,89.37390060640705,32.18296417409569
Montana,2013,24.6,86.93942116093373,98.12458901952178,97.65778195687729,24.3,96.47410548351263,94.61999095430275,78.52700375807922,96.66297855696544,117.02901717145596,63.75450659639512,106.46061848399188,74.4281720385018,73.57035770944998,126.50755202740828,63.95179971226506,0.0,103.9775669198024,76.68258142458338,81.6772501114175,84.30127300986555,105.62858006028233,63.437780216473584,82.1323254430207,112.35713345031265,0.0,0.0,91.43635027403644,110.12346111222348,82.69486774066901,94.84577207210543,48.63203475196682
Nebraska,2013,29.6,78.38800268608779,105.82063521713133,90.18669481263531,28.6,106.9203462046573,93.09386207172757,71.02074604590987,81.45756619968998,86.97238434600006,71.29536221532358,94.49875123859954,305.1555053578574,64.78583738593356,104.59842290534316,71.31315795252578,90.83214388243097,86.15284116212199,86.73931341469267,135.25050018449778,174.84708476120264,106.34228668231127,104.85583506855139,82.72748722159331,96.19617589924027,0.0,0.0,91.43635027403644,82.24410386862259,80.02729136193776,96.06174350892731,48.63203475196682
Nevada,2013,26.2,83.37633012974793,85.29784535683919,74.71087144241979,26.2,90.94374274878898,82.98325819748291,65.8241060913311,78.19926355170239,62.031774129132394,50.7293923455187,81.93879063093758,520.9972042695126,58.19744714329626,93.29048529395472,70.39298817249319,72.1314083772246,66.54564282867354,52.16929719869197,137.00700018689386,302.86012896136884,77.08031517912494,62.91350104113083,79.75167832873025,130.05722981577284,0.0,0.0,87.15027135494098,76.66823241990242,66.02251537359864,83.90202914070866,37.18920304562168
New Hampshire,2013,26.7,70.54920241747901,94.91790310385113,89.65304573090374,27.3,97.08859023181526,98.62607928107779,72.17555492470517,89.60332281965898,76.74033912882358,60.32684495142764,98.68540477448686,260.4986021347563,75.21745527010931,114.49286831530806,55.67027169197174,98.8467448132337,74.86384818225773,62.85457493818309,93.97275012819001,152.9911991660523,103.48746019419552,65.53489691784462,94.03556101447298,88.50048182730106,0.0,0.0,105.72328000435463,101.7596539391432,72.6914563204268,85.11800057753052,44.34097286208739
New Jersey,2013,26.3,76.96276627361347,82.73249662430267,67.77343337990938,24.6,98.31755972842052,99.19837761347422,58.89525281855941,77.65621311037111,65.86879108557358,67.86770057035609,90.31209770271221,617.753827919565,70.27616258813133,95.41072359609005,69.0127335024443,64.78469085732209,68.32811540444158,52.7978429480738,90.45975012339787,284.1265127369543,66.37471584869093,60.8163843397598,72.60973698585887,67.72210783306515,39.88594129810155,24.96073617669674,105.00893351783873,73.18331276445231,90.03070278217997,85.11800057753052,40.76508795385454
New Mexico,2013,26.4,81.95109371727361,110.30999549907023,99.79237828380357,27.1,87.25683425897321,92.7123298482223,85.45585703085091,86.88807061300265,95.28592108495594,61.69790960941463,104.0682450349134,141.41352687315342,64.78583738593356,98.94445409964894,77.75434641275392,132.2409153582451,90.9061013641701,80.45385592087436,121.19850016532918,140.50212168310927,82.07626153332748,62.91350104113083,88.67910500731945,76.1873713121983,0.0,0.0,112.15239838299783,111.51742897440351,85.36244411940027,86.33397201435238,79.38464496276936
New York,2013,25.4,79.81323909856212,80.16714789176615,65.63883705298309,23.6,105.07689195974943,85.08168541817749,53.69861286398064,74.39791046238352,60.1132656509118,64.44003892538862,83.1349773554768,506.11156986181226,63.68777234549402,98.94445409964894,63.03162993223247,71.46352496632437,63.57485520239347,51.540751449310136,89.58150012219983,309.1046677028404,62.80618273854625,57.67070928770326,72.01457520728627,64.64383020428946,41.15216165677143,46.28136499429187,104.29458703132282,84.33505566189267,66.68940946828145,76.60620051977747,32.89814115574226
North Carolina,2013,29.4,75.53752986113915,94.91790310385113,76.31181868761449,29.6,90.94374274878898,94.81075706891687,73.33036380350045,80.91451575835872,73.54282499845593,77.46515317626503,96.891124687678,506.11156986181226,76.86455283076864,92.58373919324293,70.39298817249319,77.47447566442642,80.80542343481787,74.79694417643788,134.37225018329974,215.43658658076754,90.6407409976747,66.05917609318738,77.3710312144398,90.0396206416889,71.5414502648488,87.3625766184386,98.57981513919555,78.75918421317249,72.02456222574398,96.66972922733824,47.20168078867368
North Dakota,2013,31,93.35298501706819,121.21272761235042,85.91750215878275,29.7,105.69137670805206,104.15829649615097,84.87845259145327,90.14637326099025,111.27349173679418,92.54686441412196,111.84345874441843,178.62761289240433,108.70843900351565,137.81548963879675,78.21443130277021,0.0,102.19509434403436,109.36696039243859,121.19850016532918,212.3143172100318,131.32201845332398,92.79741403566797,97.60653168590866,150.06603440281484,0.0,0.0,115.00978432906146,139.3967862180044,109.37063152798159,121.59714368218646,143.03539632931418
Ohio,2013,30.4,76.25014806737632,98.7659262026559,81.11466042319863,30.1,99.54652922502578,92.14003151582585,77.37219487928394,79.28536443436492,79.93785325919123,75.40855618928455,89.7140043404426,483.7831182502617,65.33486990615334,100.35794630107249,67.63247883239542,93.50367752603188,83.18205353584192,73.53985267767422,144.9112501976762,243.53701091738938,88.4996211315879,79.1661554767563,88.08394322874683,80.80478775536183,78.5056622375332,91.0026839775402,95.7224291931319,84.33505566189267,74.69213860447523,88.76591488799612,40.04991097220797
Oklahoma,2013,32.5,128.98389532892628,104.53796085086307,86.98480032224589,32.2,101.38998346993365,87.37087874776323,86.03326147024855,87.43112105433391,79.29835043311769,76.09408851827804,84.92925744228566,364.6980429886588,83.45294307340595,95.41072359609005,74.07366729262355,65.45257426822232,86.15284116212199,67.2543951838559,134.37225018329974,249.7815496588609,98.49151383999298,77.59331795072802,92.25007567875514,94.65703708485243,89.26853528622728,0.0,85.00723189539326,62.72855379810198,80.02729136193776,105.18152928509129,35.043672100681974
Oregon,2013,26.5,56.29683829273578,71.18842732788835,56.566802663546405,27.3,60.219505333657565,57.03906713075224,46.769759591208945,53.21894325046412,47.962711955514735,30.848954804707315,61.60361631377058,148.8563440770036,38.43227641538432,66.43413346690714,35.88662142127104,62.781040624621404,48.720917070993124,53.42638869745563,51.816750070684215,81.1790036391298,56.382823140285836,39.84521732604953,57.13553074297092,75.41780190500438,32.288619146082205,0.0,72.14899513810688,68.30442524682215,46.68258662779702,50.46281462810738,31.467787192449116
Pennsylvania,2013,30,71.97443882995334,99.40726338579003,80.58101134146705,29.1,103.84792246314417,93.666160404124,71.59815048530753,79.82841487569618,80.57735608526475,70.60982988633008,93.90065787632992,565.6541074926137,78.51165039142796,97.53096189822539,68.09256372241171,88.82849364973029,81.39958096007388,62.22602918880126,113.29425015454684,262.27062714180397,79.93514166724069,68.1562927945584,80.34684010730285,87.73091242010713,50.64881434679562,57.201687071596695,102.15154757177508,92.0018789038829,74.69213860447523,86.94195773276331,41.48026493550111
Rhode Island,2013,27.3,78.38800268608779,103.2552864845948,83.2492567501249,25.7,101.38998346993365,101.86910316656524,66.9789149701264,82.00061664102125,83.7748702156324,62.383441938408126,102.27396494810456,401.9121290079097,74.66842274988953,106.01191510676672,74.53375218263984,106.86134574403644,76.05216323276976,74.16839842705605,101.87700013897235,174.84708476120264,79.93514166724069,74.44764289867149,95.82104635019081,106.20057819276126,0.0,0.0,119.29586324815692,103.15362180132325,93.36517325559404,90.58987204322891,45.771326825380534
South Carolina,2013,31.7,76.25014806737632,98.12458901952178,82.18195858666176,31.6,84.7988952657627,95.1922892866992,80.83662151566978,82.54366708235251,71.62431652023534,104.20091400701138,95.09684460086915,357.25522578480866,73.57035770944998,97.53096189822539,72.23332773255838,74.13505860992528,81.39958096007388,67.88294093323775,122.07675016652722,184.21389287340992,98.49151383999298,60.292105164417045,80.34684010730285,100.04402293520988,74.70700116152354,0.0,91.43635027403644,67.60744131573213,72.6914563204268,100.31764353780383,45.771326825380534
South Dakota,2013,29.9,80.52585730479927,126.34342507742346,94.45588746648787,28.1,110.60725469447308,103.58599816375454,96.4265413794061,97.74907943962798,123.42404543219125,89.11920276915447,119.61867245392345,245.61296772705595,85.64907315428506,130.74802863167895,82.35519531291688,0.0,118.83150505120274,62.85457493818309,112.4160001533488,112.40169734648741,138.45908467361332,98.56448496443831,111.29525259307877,101.58316174959774,0.0,0.0,142.86929730318195,98.2747342836931,80.69418545662056,108.82944359555688,128.73185669638275
Tennessee,2013,33.7,84.0889483359851,108.38598394966785,87.51844940397746,31.1,95.24513598690737,96.9091842838885,88.92028366723676,87.43112105433391,72.9033221723824,80.20728249223902,90.91019106498183,379.5836773963592,85.10004063406528,89.05000868968405,75.45392196267244,88.82849364973029,89.71778631365807,71.02566968014689,133.4940001821017,284.1265127369543,90.6407409976747,68.1562927945584,85.70329611445638,96.9657453064342,103.830069410931,102.44302139185953,85.72157838190917,77.36521635099244,68.6900917523299,104.57354356668036,38.619557008914825
Texas,2013,30.9,99.05393066696548,85.29784535683919,70.44167878856723,29.2,95.24513598690737,84.31862097116695,69.28853272771696,79.82841487569618,58.83425999876474,66.4966359123691,80.14451054412872,1488.563440770036,73.57035770944998,91.17024699181938,72.23332773255838,70.12775814452391,65.3573277781615,51.540751449310136,112.4160001533488,399.65047945417746,81.36255491129855,67.10773444387289,73.20489876443149,99.27445352801597,65.21034847149936,51.48151836443702,81.43549946281371,74.57728062663236,66.68940946828145,94.84577207210543,31.467787192449116
Utah,2013,24.1,79.10062089232495,83.3738338074368,75.77816960588292,24.3,96.47410548351263,78.97716987070788,64.09189277313818,77.65621311037111,84.41437304170594,49.358327687531705,98.68540477448686,513.5543870656625,56.550349582636926,100.35794630107249,66.71230905236283,90.83214388243097,74.86384818225773,63.48312068756493,107.14650014616058,318.47147581504765,103.48746019419552,71.8262470219577,86.298457893029,90.80919004888283,28.489958070072532,0.0,98.57981513919555,93.39584676606295,66.68940946828145,86.33397201435238,36.47402606397511
Vermont,2013,24.7,68.41134779876754,100.68993775205828,89.65304573090374,23.7,101.38998346993365,105.30289316094384,69.8659371671146,94.49077679164039,104.8784634760589,71.98089454431707,105.86252512172226,223.2845161155054,63.68777234549402,139.22898184022029,68.09256372241171,0.0,86.74699868737801,119.42369238254788,82.55550011261553,99.91261986354436,113.47935290260061,62.91350104113083,98.20169346448127,78.49607953378006,0.0,0.0,111.43805189648191,79.4561681442625,93.36517325559404,79.64612911183212,61.505220421605095
Virginia,2013,27.2,74.82491165490198,89.14586845564396,83.2492567501249,27.4,98.31755972842052,94.81075706891687,65.8241060913311,74.39791046238352,66.5082939116471,65.81110358337561,93.3025645140603,841.0383440350704,67.53099998703244,94.70397749537827,63.49171482224876,94.17156093693211,67.13980035392954,60.34039194065577,109.7812501497547,409.01728756638477,87.07220788753003,66.05917609318738,76.77586943586718,110.04842522873088,62.04479757482463,57.72170240861121,92.15069676055235,74.57728062663236,66.68940946828145,90.58987204322891,39.334733990561396
Washington,2013,27.2,73.39967524242766,81.44982225803442,76.31181868761449,26.8,99.54652922502578,78.59563764720261,58.317848379161774,81.45756619968998,63.95028260735298,47.30173070055122,83.1349773554768,446.5690322310108,53.80518698153805,93.29048529395472,58.43078103206951,74.13505860992528,65.3573277781615,64.11166643694676,86.94675011860572,259.1483577710682,81.36255491129855,61.34066351510256,77.9661929930124,130.82679922296677,55.08058560214023,0.0,97.86546865267962,83.63807173080264,60.02046852145331,82.07807198547586,42.91061889879425
West Virginia,2013,35.1,91.92774860459387,124.41941352802107,97.65778195687729,33.8,97.08859023181526,111.02587648490818,115.48088787952825,95.57687767430292,91.44890412851477,117.2260282578878,113.03964546895767,260.4986021347563,103.76714632153767,96.11746969680182,92.01697800325907,120.21901396204099,111.10745722287457,98.05313690356563,175.6500002396075,65.56765678545099,95.63668735187724,68.68057196990115,117.84203215737753,66.95253842587123,0.0,0.0,99.29416162571145,89.21394317952281,89.36380868749715,116.12527221648807,45.05614984373396
Wisconsin,2013,29.8,67.69872959253037,92.99389155444874,76.84546776934606,29.7,95.85962073521,91.56773318342943,69.28853272771696,73.85486002105225,81.85636173741182,76.09408851827804,93.3025645140603,327.4839569694079,56.00131706241715,102.47818460320782,63.95179971226506,86.15696000612938,79.02295085904983,81.71094741963802,149.30250020366637,190.45843161488145,94.20927410781937,71.30196784661494,81.53716366444809,100.04402293520988,70.90834008551386,0.0,96.43677567964781,79.4561681442625,83.36176183535183,83.29404342229772,51.4927426785531
Wyoming,2013,27.8,89.07727577964522,102.61394930146068,104.06157093765613,24.6,104.4624072114468,99.5799098369795,86.03326147024855,108.61008826625331,77.3798419548971,0.0,113.03964546895767,320.0411397655577,91.13939835648281,116.61310661744339,80.97494064286799,0.0,106.94835454608247,84.85367616654717,105.39000014376451,181.09162350267417,138.45908467361332,81.26327217812732,110.10492903593355,95.42660649204635,0.0,0.0,84.29288540887734,84.33505566189267,133.3788189365629,109.43742931396781,65.79628231148452
Alabama,2014,33.5,83.2583418214754,108.7823016038962,91.45847933412443,32.4,85.77672457635764,95.21189969447376,97.77600102952356,78.92463295495125,76.34642318012472,121.78008996473702,96.34664693441238,371.0943518561284,95.65363323631621,86.63796073527851,74.68408774144184,88.12345217882263,90.84123724940245,72.10408651335712,82.86453268872854,481.56519236898544,103.7984012880207,60.91268818975837,81.44685521479775,77.71109317090371,102.9397310663836,0.0,89.94408002453119,88.36914242867661,87.84757139518842,114.77440673703657,47.66573568241128
Alaska,2014,29.7,86.37080319797916,101.14845587730699,89.80561524977279,28.4,86.28129354445386,77.12163875098132,65.18400068634904,82.98361407834875,75.05241600758023,78.75112484386327,99.7672379498353,371.0943518561284,78.16268315881838,109.15018675310678,64.39825529800973,0.0,76.1894247898214,45.53942306106766,63.060430536705375,293.63731242011306,101.4917701482869,55.157158597025294,97.50679849658886,152.968151820621,0.0,0.0,121.96962366962941,75.74497922457996,84.24726109210692,93.9063327848481,43.459935475139694
Arizona,2014,28.9,73.92095769196413,94.15076396126689,83.1941589123662,26.8,84.7675866401652,85.69070972331258,75.07800079052701,73.06166022115488,72.46440166249127,56.83070865021061,85.51477538557312,899.6226711663719,63.95128622085141,96.87079074338227,63.503835085537375,81.34472508814396,77.94764228497114,78.42900638294985,70.87783928092504,939.6393997443619,87.65198330988414,63.790452986124905,78.57900820019219,136.6079216793781,54.25202042687784,0.0,96.75802548093507,94.68122403072495,69.84601987978095,90.8374983801145,39.254135267868115
Arkansas,2014,35.9,155.62306882518766,113.2353782777399,95.31516219761161,34.6,90.82241425731986,100.35334227787251,109.99800115821401,83.43461198094846,90.58050207811408,100.67154103751594,96.34664693441238,269.8868013499116,95.1070410463944,97.55297941058919,80.94502922874834,78.33195749228678,93.77159974131865,89.18137016125749,94.33006551358407,481.56519236898544,114.56267994011174,65.22933538430817,96.93322909366775,80.98313919915229,139.10774468430216,0.0,114.47428366758515,89.7718272291318,105.12906084997958,110.47803857040952,42.05800207271584
California,2014,24.7,76.25530372434196,76.97461107644116,71.62411032190468,24.1,90.31784528922364,79.78757194427749,57.03600060055541,66.29669168215905,58.87732635077415,50.33577051875797,83.23438137529116,663.4717199851993,53.56603461233708,96.87079074338227,60.37336434188412,85.86387648192974,63.29582982539009,56.2917868393753,55.76418237543368,1174.5492496804522,73.04331942490346,58.994178325514014,65.96048133592775,108.79553043926519,44.51447829897669,43.87555068811854,103.57197093733895,90.47316962935939,71.28614400101355,74.87955947549979,37.85220186544425
Colorado,2014,21.3,73.1428423478382,85.24461061357948,76.58270257495961,21.3,87.2904314806463,74.45570555768514,57.03600060055541,67.1986874873585,62.11234428213537,42.217097854442166,82.66428287272068,1045.8113552309073,55.2058111821025,94.1420360745546,56.34847338575852,79.83834129021537,64.46797482215658,58.18926280025312,58.891145873121545,1303.749667145302,96.87850786881931,62.831198054002726,67.6811895446911,163.60230141242886,42.42786212871216,0.0,104.25336548297933,84.16108802731107,63.36546133423427,82.85852892780714,57.47926949937831
Connecticut,2014,26.3,70.80849631546039,93.51461015071779,82.09224952279844,25,87.79500044874253,95.21189969447376,59.364000625067874,69.90467490295683,72.46440166249127,63.32564678166325,92.35595741641896,494.79246914150457,73.24335344952213,97.55297941058919,63.503835085537375,85.11068458296545,84.98051226557003,77.79651439599058,53.15837946069379,599.0201173370307,78.42545875094898,57.07566846126965,70.54903655929664,111.24956496045162,27.82154893686043,0.0,105.61615457426011,89.7718272291318,79.20682666779284,81.6309951659137,39.95510196908005
Delaware,2014,30.7,85.5926878538532,104.32922493005249,93.11134341847608,31.1,96.87724187447452,114.25427963108343,79.73400083955195,74.86565183155376,100.93255945846997,93.36473563963172,114.0197005140975,1259.4717396329206,93.46726447662898,105.05705474986527,63.503835085537375,0.0,93.77159974131865,89.81386214821677,76.61060569335281,845.6754597699257,103.7984012880207,76.74039456977432,94.6389514819833,109.61354194632735,0.0,0.0,116.51846730450632,108.70807203527679,144.0124121232597,97.58893407052842,45.56283557877549
District of Columbia,2014,21.7,73.92095769196413,80.79153393973577,91.45847933412443,22.9,100.91379361924429,79.21630054612207,52.96200055765859,58.629727337963786,67.93537655858556,61.70191224880009,79.81379035986824,1113.2830555683852,58.48536432163334,90.73109273852002,46.957061154798765,89.62983597675122,57.435104841557674,80.95897433078694,53.15837946069379,1750.078382023874,83.8075980769945,66.66821778249144,60.79835670963776,138.24394469350239,43.12340085213367,0.0,82.44874002248693,96.78525123140773,57.60496484930388,79.17592764212682,46.263802279987424
Florida,2014,26.2,77.0334190684679,96.69537920346329,83.1941589123662,26.4,85.77672457635764,87.59494771525974,72.75000076601455,73.96365602635431,68.58238014485781,63.32564678166325,87.79516939585507,1293.2075898016597,66.13765498053864,99.59954541220993,58.137313810703226,78.33195749228678,75.60335229143817,59.454246774171665,77.65292685924877,1315.4951596421065,86.11422921672829,58.514550859452925,71.12260596221775,140.69797921468881,62.59848510793597,73.29797879662156,87.21850184196964,82.75840322685588,67.68583369793205,90.8374983801145,42.05800207271584
Georgia,2014,30.5,83.2583418214754,91.60614871907049,77.1336572697435,30.3,79.21732799110677,80.16841953923931,70.42200074150209,67.1986874873585,58.87732635077415,90.92913384033697,80.95398736500921,1338.1887233599782,63.404694030929605,83.22701739924392,67.97593614789916,80.59153318917967,65.05404732053982,54.39431087849748,68.79319694913313,1855.7878144951146,93.03412263592966,51.79976633459767,73.4168835739022,109.61354194632735,77.2047982997877,65.03905160826983,87.21850184196964,75.04363682435236,68.40589575854835,98.20270095147514,35.04833506059653
Idaho,2014,28.9,78.58964975671977,97.9676868245615,92.5603887236922,29.6,93.34525909780096,86.07155732398708,80.89800085180818,78.47363505235153,97.69754152710875,57.64257591664219,103.18782896525823,393.5849186352877,78.16268315881838,113.24331875634829,63.503835085537375,114.48516864257299,99.63232472515108,91.07884612213532,68.27203636618516,328.8737899105266,119.17594221957933,67.14784524855253,94.6389514819833,94.88933481920874,0.0,0.0,112.430100030664,89.7718272291318,70.56608194039725,96.36140030863498,46.263802279987424
Illinois,2014,29.3,74.69907303609008,90.96999490852139,76.58270257495961,29.4,94.85896600208963,79.59714814108389,64.60200068022093,66.74768958475877,66.64136938604108,77.12739031100011,82.66428287272068,1113.2830555683852,59.031956511555144,93.45984740734768,63.0566249793012,81.34472508814396,66.81226481568955,58.82175478721239,85.99149618641641,2349.0984993609045,82.26984398383863,67.62747271461362,73.4168835739022,107.97751893220305,61.90294638451446,64.52286865899785,98.12081457221585,96.08390883118012,72.72626812224615,87.15489709443419,39.254135267868115
Indiana,2014,32.7,72.36472700371226,104.9653787406016,82.09224952279844,31.8,90.82241425731986,95.02147589128016,89.62800094372993,71.70866651335571,86.05147697420837,83.62232844245275,95.2064499292714,640.98115320604,66.13765498053864,101.6461114138307,63.95104519177355,76.82557369435818,108.42341220089969,76.53153042207204,86.5126567693644,634.2565948274442,106.1050324277545,71.94411990916343,90.05039625861441,98.16138084745732,92.50665021506093,80.52454008642933,111.7487054850236,98.1879360318629,84.96732315272322,90.22373149916778,40.65606867029197
Iowa,2014,30.9,70.80849631546039,99.8761482562088,85.39797769150174,31.3,94.35439703399341,90.64172850923042,83.22600087632065,72.15966441595543,98.344545113381,81.18672664315801,96.34664693441238,438.5660521936063,73.24335344952213,114.60769609076212,63.0566249793012,97.16175496639417,81.46407727527058,99.30124195260586,82.34337210578057,434.58322238176737,121.48257335931311,74.34225723946888,91.19753506445663,121.8837145522595,71.64048851241562,0.0,105.61615457426011,93.27853923026976,92.88800581950251,87.7686639753809,56.07733609695445
Kansas,2014,31.3,83.2583418214754,92.24230252961958,69.42029154276915,30,80.73103489539542,76.35994355534498,71.0040007476302,64.49270007176017,64.70035862722435,76.31552304456854,80.38388886243872,663.4717199851993,60.12514089139876,87.32014940248543,68.42314625413533,93.3957954715727,71.50084480275548,49.966866969782565,83.38569327167653,1280.258682151693,99.95401605513105,60.43306072369728,79.1525776031133,115.33962249576234,87.63787915111035,0.0,95.3952363896543,63.82215842071089,79.92688872840914,85.92736333254075,32.24446825574881
Kentucky,2014,31.6,77.81153441259383,114.5076858988381,92.00943402890832,33.2,93.34525909780096,90.83215230671134,96.61200101726733,76.21864553935292,67.28837297231331,95.80033743892646,89.50546490356653,652.2264365956197,84.72178943788008,89.36671540410617,76.47292816638655,72.30642230057241,90.25516475101921,59.454246774171665,92.24542318179216,892.6574297571437,99.18513900855311,64.270080452186,85.46184103524553,102.25143838276804,123.80589276902892,0.0,102.89057639169856,81.3557184264007,69.84601987978095,105.56790352283578,36.45026846302039
Louisiana,2014,34.9,114.38295558651294,103.0569173089543,82.64320421758232,33.1,86.78586251255008,87.02367631710432,85.55400090083312,80.72862456535015,64.0533550409521,133.9580989612107,83.23438137529116,685.9622867643586,90.73430352701995,92.09547007293385,73.78966752896949,58.748968119215085,80.2919322785041,63.88169068288657,88.59729910115631,1033.603339718798,98.41626196197518,60.91268818975837,74.56402237974442,108.79553043926519,89.02895659795338,0.0,95.3952363896543,79.95303362594551,76.32657842532764,108.02297104662264,33.64640165817267
Maine,2014,28.2,69.25226562720852,114.5076858988381,84.29606830193397,28.9,89.81327632112742,106.82775145506301,84.39000088857688,77.57163924715209,79.58144111148594,65.761248580958,100.90743495497628,236.15095118117264,81.44223629834923,109.15018675310678,61.71499466059266,81.34472508814396,89.08301975425272,89.81386214821677,53.15837946069379,328.8737899105266,115.33155698668966,61.87194312188055,102.09535371995774,80.98313919915229,0.0,0.0,128.1021745803929,132.55371364301493,83.52719903149062,84.08606268970058,56.77830279816638
Maryland,2014,29.6,77.81153441259383,91.60614871907049,89.80561524977279,28.3,86.28129354445386,95.97359489011008,72.16800075988644,67.1986874873585,86.69848056048062,84.43419570888433,101.47753345754677,967.0943715038499,74.88313001928755,97.55297941058919,62.162204766828836,106.95324965293003,81.46407727527058,75.89903843511276,62.01810937080942,833.9299672731212,90.72749149619587,62.831198054002726,84.88827163232442,112.88558797457591,38.9501685116046,0.0,100.16499820913701,87.66780002844902,83.52719903149062,89.60996461822106,45.56283557877549
Massachusetts,2014,23.3,68.47415028308257,89.06153347687408,77.68461196452738,23.6,95.36353497018585,86.4524049189489,57.03600060055541,67.1986874873585,69.22938373113004,58.45444318307377,90.07556340613702,640.98115320604,73.24335344952213,94.82422474176151,55.90126327952233,89.62983597675122,77.94764228497114,60.71923074809021,48.989094797109956,1409.4590996165427,79.96321284410483,60.91268818975837,73.4168835739022,113.70359948163807,43.12340085213367,0.0,104.93476002861972,92.57719683004217,72.72626812224615,79.17592764212682,37.151235164232325
Michigan,2014,30.7,73.1428423478382,96.69537920346329,81.54129482801456,31.5,92.33612116160852,81.50138613874374,75.66000079665514,69.00267909775738,70.52339090367454,76.31552304456854,83.80447987786165,910.8679545559515,66.68424717046044,96.87079074338227,65.29267551048208,90.38302787571551,79.70585978012086,71.47159452639785,83.9068538546245,1245.0222046612794,89.18973740304001,61.39231565581946,79.1525776031133,101.43342687570589,70.24941106557259,65.55523455754182,102.89057639169856,87.66780002844902,80.64695078902544,88.38243085632763,35.74930176180846
Minnesota,2014,27.6,67.69603493895663,95.42307158236508,82.64320421758232,25.5,91.8315521935123,83.78647173136541,63.43800066796469,65.84569377955933,80.87544828403043,61.70191224880009,85.51477538557312,989.5849382830091,67.77743155030406,98.2351680777961,59.478944129411765,93.3957954715727,80.87800477688734,72.10408651335712,72.44132102976899,904.4029222539483,106.1050324277545,71.94411990916343,74.56402237974442,143.9700252429374,69.55387234215108,0.0,91.30686911581196,79.25169122571792,76.32657842532764,83.47229580875387,52.57250259089479
Mississippi,2014,35.5,101.93311008049791,110.05460922499441,99.1718450610988,35.1,89.3087073530312,96.35444249078459,104.76000110306096,85.23860359134736,82.81645904284716,162.37345328631602,95.2064499292714,404.8302020248674,98.93318637584706,94.82422474176151,85.41713029111013,72.30642230057241,87.324802259103,82.22395830470549,80.77989035693663,857.4209522667302,99.18513900855311,55.63678606308638,95.78609028782552,78.52910467796585,123.80589276902892,0.0,98.12081457221585,77.84900642526273,104.40899878936328,122.75337618934392,32.24446825574881
Missouri,2014,30.2,90.26137991860884,98.60384063511059,82.09224952279844,30.4,97.38181084257073,89.30876190972599,80.31600084568007,73.06166022115488,74.40541242130799,82.81046117602118,86.6549723907141,1079.5472053996464,73.78994563944393,92.77765874014077,63.95104519177355,85.86387648192974,88.49694725586949,69.57411856552002,85.47033560346844,1057.0943247124071,106.1050324277545,73.3830023073467,83.16756342356108,113.70359948163807,87.63787915111035,94.46147971677286,99.48360366349662,89.07048482890421,69.12595781916465,93.29256590390138,36.45026846302039
Montana,2014,26.4,87.1489185421051,107.509993982798,96.41707158717938,24.6,91.8315521935123,88.92791431476417,75.07800079052701,83.88560988354818,78.28743393894145,68.19685038025273,104.3280259703992,314.86793490823015,69.41720812006947,121.4295827628313,67.08151593542681,0.0,101.3905422203008,48.70188299586402,45.86213129942209,187.92787994887237,119.17594221957933,63.790452986124905,92.91824327321997,130.06382962288095,0.0,0.0,120.60683457834864,131.85237124278734,79.92688872840914,95.13386654674154,51.87153588968287
