states,year,y,NIH,cholesterol,diabetes,diabetes insipidus,diabetes insulin,diabetes mellitus,diabetes symptoms,diabetic,diabetic diet,diabetic ketoacidosis,endocrine,glucose,glycogen,hyperglycemia,hypertension,icd 10 codes,insulin,insulin syringes,ketoacidosis,obesity,polyphagia,prediabetes,sclerosis,signs of diabetes,sugar level,symptoms of diabetes,type 1 diabetes,type 2,type 2 diabetes
Nebraska,2011,8.40,7.333333333333333,79.0,78.33333333333333,75.33333333333333,0.0,60.666666666666664,74.66666666666667,61.0,44.333333333333336,65.66666666666667,59.333333333333336,65.66666666666667,74.33333333333333,55.333333333333336,69.33333333333333,13.333333333333334,69.0,58.0,46.666666666666664,75.66666666666667,44.666666666666664,41.0,65.66666666666667,70.66666666666667,0.0,52.333333333333336,65.0,71.0,58.666666666666664
Nevada,2011,10.30,4.0,76.0,66.0,43.333333333333336,0.0,41.333333333333336,61.0,53.0,44.333333333333336,34.666666666666664,56.0,52.333333333333336,49.666666666666664,43.666666666666664,54.0,18.0,50.666666666666664,0.0,37.333333333333336,51.666666666666664,33.333333333333336,21.666666666666668,57.666666666666664,47.666666666666664,0.0,48.0,48.333333333333336,65.0,49.666666666666664
New Hampshire,2011,8.70,9.333333333333334,83.66666666666667,76.66666666666667,48.333333333333336,0.0,39.666666666666664,64.33333333333333,56.333333333333336,40.0,41.666666666666664,61.0,63.333333333333336,60.333333333333336,40.666666666666664,57.333333333333336,30.666666666666668,57.666666666666664,0.0,33.666666666666664,75.66666666666667,0.0,22.0,75.0,40.333333333333336,0.0,50.333333333333336,63.0,70.0,59.333333333333336
New Jersey,2011,8.80,7.333333333333333,78.66666666666667,70.66666666666667,43.666666666666664,76.66666666666667,39.0,59.333333333333336,47.666666666666664,35.333333333333336,31.333333333333332,50.666666666666664,59.333333333333336,54.666666666666664,30.0,59.666666666666664,28.333333333333332,55.333333333333336,45.0,26.0,60.666666666666664,37.333333333333336,37.666666666666664,65.33333333333333,42.666666666666664,89.0,50.333333333333336,46.333333333333336,61.333333333333336,52.0
New Mexico,2011,10.00,11.0,88.66666666666667,91.0,77.33333333333333,0.0,65.33333333333333,87.0,75.33333333333333,66.66666666666667,55.333333333333336,66.0,73.66666666666667,66.33333333333333,46.0,79.0,34.333333333333336,71.0,0.0,51.666666666666664,72.33333333333333,17.0,58.666666666666664,74.33333333333333,51.666666666666664,0.0,72.66666666666667,60.333333333333336,89.33333333333333,76.0
New York,2011,10.30,8.0,66.0,60.333333333333336,46.0,55.0,33.0,50.666666666666664,40.666666666666664,27.666666666666668,30.0,49.0,47.666666666666664,46.0,31.333333333333332,51.666666666666664,18.333333333333332,47.0,47.0,27.666666666666668,51.333333333333336,34.333333333333336,23.0,58.666666666666664,42.333333333333336,71.0,43.0,37.666666666666664,52.666666666666664,42.333333333333336
North Carolina,2011,10.70,12.0,79.0,72.0,61.666666666666664,69.66666666666667,39.333333333333336,67.0,58.333333333333336,50.333333333333336,38.0,77.0,55.666666666666664,55.666666666666664,34.0,66.0,30.333333333333332,59.666666666666664,59.0,36.333333333333336,69.33333333333333,33.333333333333336,43.666666666666664,67.33333333333333,51.666666666666664,82.33333333333333,58.333333333333336,48.333333333333336,70.33333333333333,53.0
North Dakota,2011,8.30,7.333333333333333,94.66666666666667,96.66666666666667,0.0,0.0,94.33333333333333,89.0,68.33333333333333,0.0,0.0,91.66666666666667,92.33333333333333,68.0,74.66666666666667,94.66666666666667,64.33333333333333,100.0,0.0,70.66666666666667,89.0,0.0,74.0,86.0,94.0,0.0,82.33333333333333,95.0,0.0,96.33333333333333
Ohio,2011,10.00,9.0,77.0,73.66666666666667,63.0,78.0,41.666666666666664,69.0,59.0,51.333333333333336,47.333333333333336,55.0,62.333333333333336,58.666666666666664,43.0,65.33333333333333,26.333333333333332,65.0,72.66666666666667,43.0,67.33333333333333,54.333333333333336,34.666666666666664,74.0,59.666666666666664,81.33333333333333,54.333333333333336,53.666666666666664,71.0,59.666666666666664
Oklahoma,2011,11.10,5.333333333333333,80.66666666666667,82.0,60.0,0.0,48.333333333333336,78.0,75.66666666666667,72.33333333333333,65.66666666666667,51.0,68.0,59.666666666666664,45.666666666666664,64.33333333333333,22.0,66.66666666666667,0.0,45.0,65.33333333333333,50.0,24.0,69.66666666666667,53.666666666666664,0.0,61.666666666666664,59.333333333333336,79.0,68.0
Oregon,2011,9.30,7.666666666666667,78.0,69.33333333333333,52.333333333333336,0.0,38.666666666666664,61.333333333333336,56.0,40.333333333333336,32.333333333333336,46.333333333333336,55.666666666666664,57.0,36.0,56.666666666666664,27.0,57.0,50.0,37.0,63.0,37.666666666666664,45.666666666666664,64.66666666666667,38.666666666666664,0.0,47.0,49.666666666666664,72.33333333333333,58.666666666666664
Pennsylvania,2011,9.50,12.333333333333334,78.0,73.0,62.0,77.33333333333333,44.333333333333336,63.666666666666664,54.333333333333336,40.0,46.0,52.0,62.0,57.666666666666664,43.333333333333336,69.66666666666667,23.0,63.333333333333336,57.333333333333336,38.666666666666664,66.0,50.333333333333336,36.666666666666664,72.0,57.0,74.0,51.666666666666664,52.333333333333336,68.0,55.0
Rhode Island,2011,8.40,16.666666666666668,87.0,77.66666666666667,54.666666666666664,0.0,32.666666666666664,64.66666666666667,48.0,38.333333333333336,24.0,58.666666666666664,63.0,48.333333333333336,39.666666666666664,62.666666666666664,23.0,61.333333333333336,0.0,26.333333333333332,77.33333333333333,0.0,40.333333333333336,76.0,30.333333333333332,0.0,49.0,37.333333333333336,65.66666666666667,53.333333333333336
South Carolina,2011,12.00,7.666666666666667,77.66666666666667,78.0,67.0,0.0,46.666666666666664,72.0,66.0,61.666666666666664,63.0,64.33333333333333,61.666666666666664,54.666666666666664,35.666666666666664,65.0,27.0,63.0,0.0,40.0,73.66666666666667,49.333333333333336,31.333333333333332,70.66666666666667,63.0,0.0,65.33333333333333,57.666666666666664,75.0,57.666666666666664
South Dakota,2011,9.40,8.666666666666666,100.0,98.0,0.0,0.0,73.33333333333333,87.33333333333333,81.66666666666667,21.333333333333332,66.33333333333333,74.66666666666667,97.33333333333333,81.0,88.66666666666667,89.66666666666667,95.66666666666667,87.66666666666667,0.0,98.0,97.66666666666667,0.0,55.333333333333336,91.33333333333333,0.0,0.0,79.0,70.0,0.0,78.33333333333333
Tennessee,2011,11.20,10.0,88.0,84.0,81.66666666666667,0.0,46.666666666666664,70.33333333333333,79.33333333333333,84.66666666666667,63.666666666666664,68.0,69.66666666666667,60.666666666666664,55.666666666666664,82.66666666666667,34.666666666666664,79.0,65.0,49.666666666666664,75.0,62.0,48.333333333333336,77.33333333333333,60.333333333333336,100.0,61.666666666666664,59.666666666666664,73.66666666666667,65.33333333333333
Texas,2011,10.20,5.0,69.66666666666667,65.66666666666667,48.333333333333336,54.0,37.333333333333336,62.0,54.333333333333336,47.333333333333336,39.0,58.333333333333336,51.333333333333336,44.666666666666664,36.666666666666664,54.666666666666664,17.0,50.333333333333336,69.0,31.333333333333332,47.0,50.0,27.333333333333332,55.0,49.333333333333336,81.66666666666667,58.0,41.0,59.0,47.666666666666664
Utah,2011,6.60,7.333333333333333,73.33333333333333,73.0,55.666666666666664,0.0,41.666666666666664,66.66666666666667,53.666666666666664,42.666666666666664,39.333333333333336,48.333333333333336,62.666666666666664,84.33333333333333,38.333333333333336,59.666666666666664,23.333333333333332,66.66666666666667,0.0,31.666666666666668,76.0,56.0,15.333333333333334,72.66666666666667,52.666666666666664,0.0,61.333333333333336,60.0,71.66666666666667,63.0
