states,year,y,NIH,cholesterol,diabetes,diabetes insipidus,diabetes insulin,diabetes mellitus,diabetes symptoms,diabetic,diabetic diet,diabetic ketoacidosis,endocrine,glucose,glycogen,hyperglycemia,hypertension,icd 10 codes,insulin,insulin syringes,ketoacidosis,obesity,polyphagia,prediabetes,sclerosis,signs of diabetes,sugar level,symptoms of diabetes,type 1 diabetes,type 2,type 2 diabetes
Michigan,2011,10.00,5.91370388388531,49.16348468839536,45.5552368478453,35.665406553221395,31.324887974989377,25.543453465888888,69.26129990493207,45.67541013729386,35.557225319499004,39.351735690905905,29.485294229509503,70.38644844508521,39.40026088561417,32.341134864578294,45.75540458422811,80.80451188022123,40.25918902783398,73.76820889719707,28.442371875625486,30.385271064985332,30.360789655541545,16.41190642996907,30.358224365347052,42.15766359546159,95.13537040061054,51.486009583081135,37.98001501472758,75.86013817816249,51.26369926192374
Minnesota,2011,7.30,5.458803585124902,48.03588182856977,47.54551418585796,38.15815002199493,0.0,22.548703749198467,71.93991371341009,39.53193391999703,26.413938808770688,35.91836277827653,28.92544687072135,72.73266339325471,38.27453914602519,35.120451142003,42.92517337283255,93.68639058576375,39.393400016482715,0.0,27.12559539990209,27.025361283760994,25.749024138244096,20.887880910869722,26.73751870709465,37.36128270735519,0.0,50.48303537042371,40.4146313618255,70.10771063858618,46.79302781466295
Mississippi,2011,12.30,3.4117522407030636,64.49888358202325,58.6026105081505,42.76013796434608,0.0,38.40326107285364,103.70062029964966,66.24270008215719,66.79678756448742,39.351735690905905,43.294862412950664,82.89959483532257,50.657478281503934,35.62578137426203,58.01973983360884,188.54386105384953,44.15523957891469,0.0,34.49954366395313,43.24057805401759,41.89020344878518,9.591373887644261,33.839672113666666,72.19815442097016,0.0,99.96309652819,41.631939535374464,83.05067260263287,62.29135549850036
Missouri,2011,10.20,6.368604182645719,51.1931698360814,49.97807537676231,38.92514801238679,49.96121373226154,26.071938710010727,78.44511867685675,50.21624038486109,40.12886857486316,28.787511344353987,30.791604733348535,75.07887834142421,40.75112697312094,31.33047440006023,47.406372790875515,69.09371305700076,42.42366155621215,0.0,28.442371875625486,29.654855895153958,22.09804310371695,13.854206726597267,29.801192725615913,37.613723806729205,87.44357449588033,59.844128021893,48.20540367253885,79.8149321116212,57.22459452493813
Montana,2011,7.90,7.50585492954674,59.98847214272094,58.38146858170465,0.0,0.0,37.698614080691186,94.89946064322184,51.01756336972589,40.12886857486316,0.0,32.097915237187564,81.72648736123783,60.78897393780472,30.319813935542154,45.047846781379214,194.39926046545978,46.53615936013068,0.0,29.49579305620421,35.49817725380498,0.0,36.447220773048194,33.42189838386831,0.0,0.0,59.844128021893,58.43079233035012,92.39836735444436,61.09917644589748
Nebraska,2011,8.40,5.003903286364493,53.44837555573256,51.96835271477497,43.33538645713997,0.0,32.06143814339157,85.71564187129715,48.88070207675308,33.779364053524056,52.028804906768215,33.21760995476387,77.03405746489881,50.20718958566834,41.94240927749998,49.057340997522914,46.84319529288187,44.80458133742814,67.556149200591,36.86974132025526,33.160848710344574,25.749024138244096,26.216421959560982,27.433808256758574,53.51751306729257,0.0,52.488983795738555,47.47501876840947,76.57919162060954,52.455878314526615
Nevada,2011,10.30,2.729401792562451,51.418690408046515,43.786101436278486,24.927434687735385,0.0,21.844056757036014,70.02661813592579,42.470118197834644,33.779364053524056,27.466983301034993,31.35145209213669,61.392624477102096,33.54650783975149,33.09913021296685,38.208121353839964,63.23831364539053,32.8999824313482,0.0,29.49579305620421,22.642870264772725,19.215689655406045,13.854206726597267,24.09161841837174,36.09907721048508,0.0,48.14276220755638,35.30193703291987,70.10771063858618,44.40866970945719
New Hampshire,2011,8.70,6.368604182645719,56.60566356324419,50.86264308254572,27.80367715170485,0.0,20.96324801683295,73.8532092908944,45.14119481405066,30.47762170242772,33.01320108297475,34.15068888607747,74.29680669203438,40.75112697312094,30.825144167801188,40.56664736333626,107.7393491736283,37.445374740942356,0.0,26.598884809612724,33.160848710344574,0.0,14.067348368544916,31.333029734876543,30.545373024256605,0.0,50.48303537042371,46.014248960150724,75.50061145693897,53.051967840828056
New Jersey,2011,8.80,5.003903286364493,53.22285498376745,46.8820884065204,25.119184185333346,45.59952046992125,20.610924520751723,68.11332255844148,38.19639561188902,26.921899170477822,24.825927214397012,28.365599511933194,69.60437679569537,36.92367305851842,22.739860451656615,42.217615569983664,99.54178999737397,35.930243971077644,52.4142536901137,20.541713021285073,26.587112181862167,21.52157241405477,24.085005540084477,27.294550346825787,32.31246071987475,108.08997402962984,50.48303537042371,33.84116722466111,66.15291670512748,46.49498305151223
New Mexico,2011,10.00,7.50585492954674,59.98847214272094,60.37174591971731,44.485883442727754,0.0,34.52770261596015,99.87402914468105,60.36633152648194,50.79603617071287,43.841531038190475,36.94992568001824,86.41891725757684,44.80372523564125,34.86778602587348,55.89706642506217,120.62122787917082,46.10326485445504,0.0,40.82007074742547,31.700018370681814,9.800001724257083,37.51292898278644,31.054513915010972,39.12837040297333,0.0,72.88279278643952,44.066555882472386,96.35316128790306,67.95420599836403
New York,2011,10.30,5.458803585124902,44.653073249093026,40.026688686699025,26.4614306685191,32.7126994675522,17.44001305602069,58.164185555523055,32.58713471783538,21.08035501084584,23.769504779741823,27.432520580619602,55.91812293137324,31.069920012655743,23.750520916174686,36.55715314719256,64.40939352771257,30.519062650132213,54.74377607634098,21.858489497008478,22.49678723080645,19.792160345068226,14.706773294387867,24.509392148170097,32.06001962050073,86.22908040565977,43.127891144269256,27.511164722206512,56.805221953315986,37.851684920141366
North Carolina,2011,10.70,8.188205377687353,53.44837555573256,47.76665611230381,35.47365705562343,41.43608599223279,20.787086268792336,76.91448221486931,46.74384078378027,38.351007308888214,30.108039387672974,43.10824662668795,65.30298272405126,37.599106102271804,25.771841845210833,46.698814988026626,106.56826929130625,38.744058257969265,68.72091039370464,28.70572717077017,30.385271064985332,19.215689655406045,27.921555095142182,28.130097806422494,39.12837040297333,99.99334676149277,58.5068290716831,35.30193703291987,75.86013817816249,47.38911734096438
North Dakota,2011,8.30,5.003903286364493,64.04784243809303,64.13115866929678,0.0,0.0,49.853774695493485,102.16998383766222,54.75707063242831,0.0,0.0,51.31934122224756,108.31692344049222,45.929446975230235,56.59698601301203,66.98213866969476,226.018417288155,64.93417585134513,0.0,55.831322570672256,39.0041700689956,0.0,47.31744451237836,35.928540762658436,71.18839002347407,0.0,82.57821017546128,69.38656589229078,0.0,86.13493655055791
Ohio,2011,10.00,6.141154033265515,52.09525212394186,48.87236574453306,36.240655046015284,46.392555608528575,22.020218505076627,79.21043690785048,47.27805610702347,39.11294785144891,37.50299643025932,30.791604733348535,73.12369921794964,39.625405233531964,32.593799980707814,46.227109786127365,92.51531070344168,42.207214303374336,84.6393133662577,33.97283307366378,29.508772861187676,31.321574138311853,22.166730762555623,30.91525600507819,45.18695678794985,98.77885267127222,54.4949322210534,39.197323188276535,76.57919162060954,53.35001260397877
Oklahoma,2011,11.10,3.639202390083268,54.57597841555815,54.40091390567933,34.51490956763361,0.0,25.543453465888888,89.54223302626576,60.63343918810355,55.11369924522346,52.028804906768215,28.552215298195915,79.77130823776322,40.30083827728535,34.61512090974396,45.519551983278475,77.29127223325509,43.28945056756343,0.0,35.55296484453186,28.632274657390024,28.823534483109064,15.346198220230818,29.104903175951993,40.643016999217465,0.0,61.85007644720785,43.336170978343006,85.20783292997399,60.80113168274676
Oregon,2011,9.30,5.231353435744698,52.77181383983721,45.997520700737,30.104671122880426,0.0,20.43476277271111,70.40927725142265,44.874087152429055,30.731601883281286,25.61824404038841,25.939594290517856,65.30298272405126,38.49968349394299,27.28783254198794,40.094942161437,94.85747046808578,37.01248023526673,58.238059655681894,29.23243776105953,27.609693419626097,21.713729310608826,29.200404946828083,27.016034526960222,29.283167527386496,0.0,47.13978799489895,36.27578357175903,78.0172985055036,52.455878314526615
Pennsylvania,2011,9.50,8.415655527067557,52.77181383983721,48.43008189164136,35.665406553221395,45.996038039224906,23.42951248940153,73.08789105990068,43.53854884432105,30.47762170242772,36.446573995604126,29.11206265698407,72.73266339325471,38.94997218977858,32.846465096837335,49.29319359847255,80.80451188022123,41.12497803918525,66.77964173851524,30.54921423678293,28.924440725322576,29.015691379663128,23.445580614241525,30.07970854548148,43.16742799295768,89.87256267632145,51.8203343206336,38.22347664943737,73.34345112959787,49.177385919868705
Rhode Island,2011,8.40,11.372507469010213,58.86086928289535,51.526068861883275,31.446917606066172,0.0,17.263851307980076,74.23586840639128,38.46350327351062,29.2077207981599,19.01560382379346,32.84437838223843,73.90577086733946,32.645930448080314,30.067148819412633,44.34028897853033,80.80451188022123,39.82629452215835,0.0,20.805068316429754,33.89126388017595,0.0,25.79013867566568,31.7508034646749,22.972140043035957,0.0,49.14573642021381,27.267703087496724,70.82676408103323,47.68716210411511
South Carolina,2011,12.00,5.231353435744698,52.546293267872095,51.74721078832913,38.54164901719086,0.0,24.662644725685823,82.65436894732224,52.8873170010771,46.986333457909396,49.91596003745783,36.016846748704644,72.34162756855979,36.92367305851842,27.03516742585842,45.99125718517774,94.85747046808578,40.908530786347434,0.0,31.602635417361654,32.28435050654692,28.439220690000944,20.035314343079122,29.522676905750345,47.711367781690065,0.0,65.52764856028507,42.11886280479404,80.89351227529176,51.561744025074454
South Dakota,2011,9.40,5.91370388388531,67.65617158953489,65.01572637508018,0.0,0.0,38.755584568934864,100.2566882601779,65.44137709729237,16.254731574628117,52.5570161240958,41.80193612284892,114.18246081091598,54.71007654402425,67.20892089045178,63.44434965545032,336.09992622642744,56.9256274963459,0.0,77.42645677253606,42.80232895211876,0.0,35.38151256330994,38.15666732158299,0.0,0.0,79.23496279993654,51.126943289056356,0.0,70.04051934041905
Tennessee,2011,11.20,6.823504481406127,59.5374309987907,55.72776546435444,46.9786269115013,0.0,24.662644725685823,80.74107336983792,63.57162346594116,64.51096593680535,50.444171254785424,38.06962039759455,81.72648736123783,40.97627132103874,42.1950743936295,58.4914450355081,121.79230776149285,51.297998922562655,75.70947755238646,39.23993897655738,32.86868264241202,35.74118275905524,30.905538082409286,32.30783510440603,45.691838986697896,121.44940902205602,61.85007644720785,43.579632613052794,79.45540539039769,58.416773577541
